iter	Passed	Remaining
914	19213	1784
915	19233	1763
916	19252	1742
917	19273	1721
918	19293	1700
919	19314	1679
920	19335	1658
921	19357	1637
922	19377	1616
923	19399	1595
924	19418	1574
925	19440	1553
926	19461	1532
927	19482	1511
928	19503	1490
929	19523	1469
930	19543	1448
931	19563	1427
932	19582	1406
933	19600	1385
934	19619	1363
935	19643	1343
936	19666	1322
937	19687	1301
938	19707	1280
939	19730	1259
940	19751	1238
941	19773	1217
942	19793	1196
943	19814	1175
944	19835	1154
945	19853	1133
946	19874	1112
947	19895	1091
948	19916	1070
949	19937	1049
950	19959	1028
951	19981	1007
952	20003	986
953	20025	965
954	20048	944
955	20068	923
956	20089	902
957	20110	881
958	20130	860
959	20152	839
960	20173	818
961	20195	797
962	20215	776
963	20235	755
964	20257	734
965	20279	713
966	20298	692
967	20321	671
968	20340	650
969	20361	629
970	20380	608
971	20401	587
972	20421	566
973	20441	545
974	20462	524
975	20481	503
976	20502	482
977	20524	461
978	20545	440
979	20565	419
980	20584	398
981	20606	377
982	20627	356
983	20646	335
984	20666	314
985	20687	293
986	20709	272
987	20730	251
988	20750	230
989	20770	209
990	20792	188
991	20812	167
992	20834	146
993	20855	125
994	20875	104
995	20897	83
996	20917	62
997	20938	41
998	20959	20
999	20980	0
